pair,file_a,file_b,class_a,class_b,similarity,label,label_rater1,label_rater2,consensus
1,229.jpg,300.jpg,1,1,0.8018,,SAME,UNSURE,DISPUTED
2,183.jpg,8.jpg,1,1,0.3991,,DIFF,DIFF,DIFF
3,325.jpg,93.jpg,1,1,0.321,,DIFF,DIFF,DIFF
4,48.jpg,74.jpg,1,1,0.8748,,SAME,SAME,SAME
5,197.jpg,315.jpg,1,1,0.3637,,DIFF,DIFF,DIFF
6,172.jpg,325.jpg,1,1,0.9468,,SAME,SAME,SAME
7,4.jpg,70.jpg,0,0,0.4642,,SAME,SAME,SAME
9,167.jpg,361.jpg,1,1,0.4784,,SAME,UNSURE,DISPUTED
10,5.jpg,94.jpg,1,1,0.629,,SAME,SAME,SAME
11,190.jpg,344.jpg,1,1,0.4664,,SAME,SAME,SAME
12,142.jpg,143.jpg,0,0,1.0,,SAME,SAME,SAME
13,100.jpg,27.jpg,0,0,0.9039,,SAME,SAME,SAME
14,244.jpg,356.jpg,1,1,0.594,,SAME,SAME,SAME
15,224.jpg,274.jpg,1,1,0.683,,SAME,SAME,SAME
16,202.jpg,247.jpg,1,1,0.6827,,SAME,SAME,SAME
17,243.jpg,365.jpg,1,1,0.6283,,SAME,SAME,SAME
18,183.jpg,47.jpg,1,1,0.4723,,DIFF,DIFF,DIFF
19,326.jpg,44.jpg,1,1,0.3126,,DIFF,DIFF,DIFF
20,226.jpg,418.jpg,1,1,0.6454,,SAME,SAME,SAME
21,26.jpg,57.jpg,1,1,0.6017,,SAME,SAME,SAME
22,41.jpg,67.jpg,1,1,0.9098,,SAME,SAME,SAME
23,324.jpg,385.jpg,1,1,0.8831,,SAME,SAME,SAME
24,35.jpg,6.jpg,1,1,0.887,,DIFF,UNSURE,DISPUTED
25,312.jpg,348.jpg,1,1,0.8401,,SAME,SAME,SAME
26,173.jpg,417.jpg,1,1,0.8947,,SAME,SAME,SAME
27,57.jpg,83.jpg,0,0,0.6642,,SAME,SAME,SAME
28,17.jpg,293.jpg,1,1,0.3504,,DIFF,DIFF,DIFF
29,195.jpg,371.jpg,1,1,0.332,,DIFF,DIFF,DIFF
30,177.jpg,317.jpg,1,1,0.6898,,SAME,SAME,SAME
31,275.jpg,332.jpg,1,1,0.6061,,SAME,SAME,SAME
32,8.jpg,298.jpg,0,1,0.3332,,DIFF,DIFF,DIFF
33,5.jpg,91.jpg,1,1,0.9682,,SAME,SAME,SAME
34,276.jpg,417.jpg,1,1,0.9228,,SAME,SAME,SAME
35,306.jpg,344.jpg,1,1,0.9291,,SAME,SAME,SAME
36,1.jpg,56.jpg,0,0,0.8905,,SAME,SAME,SAME
37,267.jpg,343.jpg,1,1,0.8012,,SAME,SAME,SAME
38,200.jpg,367.jpg,1,1,0.7616,,SAME,SAME,SAME
39,10.jpg,83.jpg,0,0,0.6932,,SAME,SAME,SAME
40,188.jpg,312.jpg,1,1,0.9155,,SAME,SAME,SAME
41,13.jpg,80.jpg,0,0,0.743,,SAME,SAME,SAME
42,36.jpg,95.jpg,1,1,0.3537,,UNSURE,UNSURE,UNSURE
43,242.jpg,337.jpg,1,1,0.4562,,SAME,SAME,SAME
44,234.jpg,269.jpg,1,1,0.6049,,SAME,SAME,SAME
45,3.jpg,94.jpg,1,1,0.6358,,SAME,SAME,SAME
46,179.jpg,379.jpg,1,1,0.7255,,SAME,SAME,SAME
47,282.jpg,393.jpg,1,1,0.3599,,DIFF,DIFF,DIFF
48,176.jpg,373.jpg,1,1,0.6215,,SAME,UNSURE,DISPUTED
49,23.jpg,38.jpg,0,0,0.8493,,SAME,SAME,SAME
50,94.jpg,96.jpg,1,1,0.7458,,SAME,UNSURE,DISPUTED
51,15.jpg,19.jpg,0,1,0.3249,,DIFF,DIFF,DIFF
52,110.jpg,128.jpg,1,1,0.6087,,UNSURE,UNSURE,UNSURE
53,266.jpg,363.jpg,1,1,0.7442,,SAME,SAME,SAME
54,55.jpg,81.jpg,1,1,0.499,,SAME,SAME,SAME
55,262.jpg,354.jpg,1,1,0.7248,,SAME,SAME,SAME
56,100.jpg,95.jpg,1,1,0.9004,,SAME,SAME,SAME
57,167.jpg,254.jpg,1,1,0.474,,SAME,SAME,SAME
58,198.jpg,294.jpg,1,1,0.4694,,SAME,SAME,SAME
59,26.jpg,99.jpg,0,0,0.9589,,SAME,SAME,SAME
60,155.jpg,183.jpg,1,1,0.5047,,DIFF,DIFF,DIFF
